date,weather_code,temperature,humidity,air_quality
20:11:16:16:31,100,15.0,45.0,5
20:11:16:16:32,100,15.0,44.0,5
20:11:18:16:33,102,15.5,43.4,11
20:11:17:16:27,104,16.0,41.7,8
20:11:16:16:28,106,16.7,40.3,9
20:11:16:16:29,108,17.2,39.5,7
20:11:16:16:34,110,17.8,36.0,12
20:11:18:16:35,112,18.3,34.6,11
20:11:17:16:24,114,18.9,33.1,10
20:11:16:16:25,116,19.4,31.9,11
20:11:16:16:26,118,20.0,30.5,12
20:11:16:16:36,121,20.7,29.4,13
20:11:18:16:37,123,21.3,28.1,13
20:11:17:16:21,127,22.5,26.8,12
20:11:16:16:22,130,23.8,24.0,12
20:11:16:16:23,133,24.8,20.0,12
20:11:16:16:38,166,25.6,40.0,8
20:11:16:16:39,170,27.3,30.0,8
20:11:16:16:19,180,28.8,22.0,9
20:11:16:16:20,199,33.0,12.0,8
20:11:16:16:40,200,18.0,80.0,10
20:11:16:16:41,233,15.0,85.0,11
20:11:16:16:17,266,12.0,90.0,10
20:11:16:16:18,299,8.0,98.0,10
20:11:16:16:42,300,218.0,50.0,7
20:11:16:16:43,333,15.0,55.0,6
20:11:16:16:15,366,11.0,66.0,8
20:11:16:16:16,399,9.0,81.0,5
20:11:16:16:44,400,5.0,82.0,5
20:11:16:16:45,433,2.0,84.0,5
20:11:16:16:13,466,-2.0,92.0,5
20:11:16:16:14,499,-10.0,99.0,5
20:12:02:20:17,491,15.0,28.0,8
20:12:02:20:16,450,15.0,28.0,8
20:12:02:20:15,400,15.0,28.0,8
20:12:02:20:14,380,15.0,28.0,8
20:12:02:20:13,143,19.0,33.0,9
20:12:02:20:14,141,17.0,35.0,9
20:12:02:20:15,111,17.0,35.0,9
20:12:02:20:16,111,17.0,35.0,9
20:12:02:20:17,105,16.0,37.0,8
20:12:02:20:17,491,15.0,28.0,8
20:12:02:20:16,450,15.0,28.0,8
20:12:02:20:15,400,15.0,28.0,8
20:12:02:20:14,380,15.0,28.0,8
20:12:02:20:13,143,19.0,33.0,9
20:12:02:20:14,141,17.0,35.0,9
20:12:02:20:15,111,17.0,35.0,9
20:12:02:20:16,111,17.0,35.0,9
20:12:02:20:17,105,16.0,37.0,8
20:12:02:20:17,491,15.0,28.0,8
20:12:02:20:16,450,15.0,28.0,8
20:12:02:20:15,400,15.0,28.0,8
20:12:02:20:14,380,15.0,28.0,8
20:12:02:20:13,143,19.0,33.0,9
20:12:02:20:14,141,17.0,35.0,9
20:12:02:20:15,111,17.0,35.0,9
20:12:02:20:16,111,17.0,35.0,9
20:12:02:20:17,105,16.0,37.0,8
20:12:02:20:17,491,15.0,28.0,8
20:12:02:20:16,450,15.0,28.0,8
20:12:02:20:15,400,15.0,28.0,8
20:12:02:20:14,380,15.0,28.0,8
20:12:02:20:13,143,19.0,33.0,9
20:12:02:20:14,141,17.0,35.0,9
20:12:02:20:15,111,17.0,35.0,9
20:12:02:20:16,111,17.0,35.0,9
20:12:02:20:17,105,16.0,37.0,8
20:12:02:20:17,491,15.0,28.0,8
20:12:02:20:17,450,15.0,28.0,8
20:12:02:20:17,400,15.0,28.0,8
20:12:02:20:17,380,15.0,28.0,8
21:02:24:14:50,143,19.0,33.0,9
21:02:24:14:50,141,17.0,35.0,9
21:02:24:14:50,111,17.0,35.0,9
21:02:24:14:50,111,17.0,35.0,9
21:02:24:14:50,105,16.0,37.0,8
21:02:24:14:50,150,5.0,50.0,10
21:02:24:14:50,155,5.0,55.0,5
21:02:25:15:50,155,5.0,50.0,2
21:02:26:20:40,111,15.0,18.0,5
21:02:26:20:41,280,5.0,80.0,5
